time	log10(total)	total
0	11.41329976	2.59E+11
2	11.4345689	2.72E+11
4	11.44090908	2.76E+11
6	11.49276039	3.11E+11
8	11.36735592	2.33E+11
12	11.10380372	1.27E+11
18	10.88106075	76043264000
24	10.46485185	29164320000
30	10.51060935	32404800000
36	10.19185058	15554304000
42	10.20957935	16202400000
48	9.28474647	1926400000
54	9.252561786	1788800000
60	8.837588438	688000000
66	7.43964843	27520000
72	8.314709693	206400000
78	7.837588438	68800000
84	7.740678425	55040000
90	7.43964843	27520000
96		0
102		0
